Product,AA_Price,A_Price,AAA_Price
Optiloc® Processing Spacer,77.0,65.45,88.55
Optiloc® Model Analog,77.0,65.45,88.55
Optiloc® Mounting & Demounting Tool for Retention Inserts,77.0,65.45,88.55
"Optiloc® Mounting Tool, Model Analog and Reposition Aid",77.0,65.45,88.55
Optiloc® Matrix Housing Extractor,219.0,186.15,251.85
"Optiloc® Equipment box, incl. 3 tools",99.0,84.15,113.85
"Optiloc® Processing package, titanium",99.0,84.15,113.85
"Screw-retained Abutment, Zygomatic",219.0,186.15,251.85
Straumann® Membrane Flex,147.0,124.95,169.05
SocketPlug,306.0,260.1,351.9
Straumann® BoneCeramic,103.0,87.55,118.45
AlloGraft GC,48.0,40.8,55.2
AlloGraft OCAN,81.0,68.85,93.15
AlloGraft DGC,52.0,44.2,59.8
AlloGraft C/C,53.0,45.05,60.95
Moldable Demineralized Fibers with Cancellous Chips,141.0,119.85,162.15
Straumann® Emdogain® 5-Pack,604.0,513.4,694.6
Straumann® Emdogain Multipack,642.0,545.7,738.3
Straumann® Emdogain® MI,136.0,115.6,156.4
Straumann® PrefGel®,54.0,45.9,62.1
Pilot Drill for bonerings,54.0,45.9,62.1
Trephine,87.0,73.95,100.05
Diamond Tulip Instrument,44.0,37.4,50.6
Planator,99.0,84.15,113.85
Istrument Rack for bonering instruments,44.0,37.4,50.6
Instrument tray maxgraft® bonering,219.0,186.15,251.85
Cerabone® Granules,90.0,76.5,103.5
Jason® membrane,199.0,169.15,228.85
AlloGraft Dermal Matrix,95.0,80.75,109.25
Straumann® MembranePlus,117.0,99.45,134.55
Straumann® XenoFlex®,78.0,66.3,89.7
Straumann® XenoFlex® Syringe,206.0,175.1,236.9
Regenomer® Block,31.0,26.35,35.65
Regenomer® Plug,51.0,43.35,58.65
Straumann® XenoGraft,82.0,69.7,94.3
Cheek retractor,5.9,5.02,6.78
RN/WN Basal Screw,36.0,30.6,41.4
"NC/RC Screw for Screw-retained Abutments, 0°",36.0,30.6,41.4
Occlusal Screw for Screw-retained Copings,36.0,30.6,41.4
NC/RC Screw for Screw-retained Abutments 17°/30°,36.0,30.6,41.4
X-ray template,11.0,9.35,12.65
Polishing Aid,43.0,36.55,49.45
iEXCEL Lab Processing Screw for Screw-retained Abutments,36.0,30.6,41.4
Holding Key for Screw-retained Abutments,124.0,105.4,142.6
SC Basal Screw B,36.0,30.6,41.4
Adapter for handpiece,124.0,105.4,142.6
Adapter for ratchet,124.0,105.4,142.6
Implant Distance Indicator,160.0,136.0,184.0
Novaloc® Plan Abutment,33.0,28.05,37.95
NC/RC Basal Screw AS,36.0,30.6,41.4
iEXCEL Screw-retained Plan Abutment,36.0,30.6,41.4
Anatomic Plan Abutments,36.0,30.6,41.4
Gold Plan Abutment,36.0,30.6,41.4
Cementable Plan Abutment,36.0,30.6,41.4
LOCATOR® Plan Abutments,36.0,30.6,41.4
NC Basal Screw,36.0,30.6,41.4
NC Basal Screw for Ceramic Abutments,59.0,50.15,67.85
NC Basal Screw for Cementable Abutments,36.0,30.6,41.4
Transfer Aid,13.0,11.05,14.95
NC/RC SRBB Bone Level Screw,36.0,30.6,41.4
RC Basal Screw,36.0,30.6,41.4
"RC Basal Screw for Gold Abutments, Bridge",36.0,30.6,41.4
Bone Level PLAN-Cassette,63.0,53.55,72.45
BLT Pilot Drill,110.0,93.5,126.5
BLT Profile Drill,217.0,184.45,249.55
BLT Tap,228.0,193.8,262.2
BL Hard Bone Tap,256.0,217.6,294.4
Planning Guide,207.0,175.95,238.05
Bone Level PLAN-Cassette,63.0,53.55,72.45
BL Bone Profiler,256.0,217.6,294.4
BL Guiding Cylinder,55.0,46.75,63.25
iEXCEL Needle Drill,110.0,93.5,126.5
SC Position Indicator,55.0,46.75,63.25
TL Guiding Cylinder,54.0,45.9,62.1
Explantation Drill,256.0,217.6,294.4
SC Guide Pin,55.0,46.75,63.25
